"Date","Volume","Adj.Close","Stock"
2013-09-16,-83087000,-30.99,"Difference"
2013-09-13,-33809900,-32.84,"Difference"
2013-09-12,-68152600,-34.26,"Difference"
2013-09-11,-185586600,-33.51,"Difference"
2013-09-10,-128917700,-37.61,"Difference"
2013-09-09,-35543300,-39.93,"Difference"
2013-09-06,-14446500,-39.32,"Difference"
2013-09-05,12553000,-38.83,"Difference"
2013-09-04,56062400,-39.34,"Difference"
2013-09-03,71524800,-37.27,"Difference"
2013-08-30,-25284100,-35.6,"Difference"
2013-08-29,-14629700,-36.08,"Difference"
2013-08-28,-32644600,-36.48,"Difference"
2013-08-27,-47524900,-35.93,"Difference"
2013-08-26,-9954600,-37.07,"Difference"
2013-08-23,169810900,-36.21,"Difference"
2013-08-22,-29882000,-38.78,"Difference"
2013-08-21,-46560800,-39.45,"Difference"
2013-08-20,-66692500,-39.26,"Difference"
2013-08-19,-99727100,-40.42,"Difference"
2013-08-16,-57710200,-39.27,"Difference"
2013-08-15,-89235500,-38.66,"Difference"
2013-08-14,-140573500,-38.19,"Difference"
2013-08-13,-181021200,-37.06,"Difference"
2013-08-12,-65614800,-33.56,"Difference"
2013-08-09,-39915600,-31.92,"Difference"
2013-08-08,-4909900,-32.65,"Difference"
2013-08-07,-36635900,-33.58,"Difference"
2013-08-06,-47382900,-34.09,"Difference"
2013-08-05,-48729900,-34.55,"Difference"
2013-08-02,-39496000,-33.41,"Difference"
2013-08-01,-9004800,-32.81,"Difference"
2013-07-31,-36841000,-32.07,"Difference"
2013-07-30,-31556100,-32.17,"Difference"
2013-07-29,-33143700,-31.7,"Difference"
2013-07-26,-11404500,-30.68,"Difference"
2013-07-25,5839600,-30.56,"Difference"
2013-07-24,-95181100,-30.29,"Difference"
2013-07-23,-26538500,-27.43,"Difference"
2013-07-22,27091600,-28.27,"Difference"
2013-07-19,181248100,-28.67,"Difference"
2013-07-18,-5172600,-25.71,"Difference"
2013-07-17,-12462500,-25.22,"Difference"
2013-07-16,-17756000,-24.7,"Difference"
2013-07-15,-26336700,-24.4,"Difference"
2013-07-12,-34389600,-24.76,"Difference"
2013-07-11,-27934800,-24.85,"Difference"
2013-07-10,-40692600,-24.89,"Difference"
2013-07-09,-62827600,-25.46,"Difference"
2013-07-08,-42137700,-24.46,"Difference"
2013-07-05,-42420300,-24.91,"Difference"
2013-07-03,-44237800,-25.57,"Difference"
2013-07-02,-79836300,-25.32,"Difference"
2013-07-01,-66708000,-23.62,"Difference"
2013-06-28,-79083600,-21.69,"Difference"
2013-06-27,-55318400,-21.23,"Difference"
2013-06-26,-43265100,-22.09,"Difference"
2013-06-25,-34467300,-23.38,"Difference"
2013-06-24,-64077500,-23.32,"Difference"
2013-06-21,-34941100,-25.27,"Difference"
2013-06-20,-34834000,-25.52,"Difference"
2013-06-19,-46918800,-25.32,"Difference"
2013-06-18,-20139900,-26.15,"Difference"
2013-06-17,-15183500,-26.17,"Difference"
2013-06-14,-14773900,-26.48,"Difference"
2013-06-13,-25803200,-26.99,"Difference"
2013-06-12,-28934100,-26.19,"Difference"
2013-06-11,-32092200,-27.1,"Difference"
2013-06-10,-76543800,-26.67,"Difference"
2013-06-07,-60376600,-26.89,"Difference"
2013-06-06,-66615000,-27.1,"Difference"
2013-06-05,-26622300,-28.21,"Difference"
2013-06-04,-7652700,-28.58,"Difference"
2013-06-03,-41835500,-28.19,"Difference"
2013-05-31,-39910000,-28.73,"Difference"
2013-05-30,-37248900,-28.86,"Difference"
2013-05-29,-44231900,-28.08,"Difference"
2013-05-28,-48324200,-27.46,"Difference"
2013-05-24,-35867300,-28.7,"Difference"
2013-05-23,-37152600,-28.39,"Difference"
2013-05-22,-44712100,-27.84,"Difference"
2013-05-21,-65303100,-27.38,"Difference"
2013-05-20,-58873800,-27.61,"Difference"
2013-05-17,-46309400,-26.47,"Difference"
